code;deployment;descr
F1503;OnPremise;SAP S/4HANA Finance 1503
S1511;OnPremise;SAP S/4HANA 1511
S1605F;OnPremise;SAP S/4HANA Finance 1605
S1610;OnPremise;SAP S/4HANA 1610
S1709;OnPremise;SAP S/4HANA 1709
S1809;OnPremise;SAP S/4HANA 1809
S1909;OnPremise;SAP S/4HANA 1909
S2020;OnPremise;SAP S/4HANA 2020
S2021;OnPremise;SAP S/4HANA 2021
S2022;OnPremise;SAP S/4HANA 2022
S2023;OnPremise;SAP S/4HANA 2023
S1603;Cloud;SAP S/4HANA Cloud 1603
S1605;Cloud;SAP S/4HANA Cloud 1605
S1608;Cloud;SAP S/4HANA Cloud 1608
S1611;Cloud;SAP S/4HANA Cloud 1611
S1702;Cloud;SAP S/4HANA Cloud 1702
S1705;Cloud;SAP S/4HANA Cloud 1705
S1708;Cloud;SAP S/4HANA Cloud 1708
S1711;Cloud;SAP S/4HANA Cloud 1711
S1802;Cloud;SAP S/4HANA Cloud 1802
S1805;Cloud;SAP S/4HANA Cloud 1805
S1808;Cloud;SAP S/4HANA Cloud 1808
S1811;Cloud;SAP S/4HANA Cloud 1811
S1902;Cloud;SAP S/4HANA Cloud 1902
S1908;Cloud;SAP S/4HANA Cloud 1908
S1911;Cloud;SAP S/4HANA Cloud 1911
S2002;Cloud;SAP S/4HANA Cloud 2002
S2005;Cloud;SAP S/4HANA Cloud 2005
S2008;Cloud;SAP S/4HANA Cloud 2008
S2011;Cloud;SAP S/4HANA Cloud 2011
S2102;Cloud;SAP S/4HANA Cloud 2102
S2105;Cloud;SAP S/4HANA Cloud 2105
S2108;Cloud;SAP S/4HANA Cloud 2108
S2111;Cloud;SAP S/4HANA Cloud 2111
S2202;Cloud;SAP S/4HANA Cloud 2202
S2208;Cloud;SAP S/4HANA Cloud 2208
S2302;Cloud;SAP S/4HANA Cloud 2302
S2308;Cloud;SAP S/4HANA Cloud 2308
S2402;Cloud;SAP S/4HANA Cloud 2402
S2408;Cloud;SAP S/4HANA Cloud 2408
